order #,fset #,eset #,gon-f-e,region,sub region,country,lct,segment,sub segment,modality,mct - explore,customer,psi description,psi group,fset main mor,fset value,order init date,aosd,cosd,sosd,rsdd,asdd,missing asdd,fpd,asds,myor shortage,billing terms,aicd,hfs credit status,hfs credit approved date,taskray cosd,modified cosd,ls,ld,lm,eset main mor,inco terms,pjm,eom order status,pmi/owner,customer class,procure date,cdo date,rsds,po/ir,credit status,credit override date,credit approved date,inst,fulfilment model,shippable item flag,eset creation date,customer class new,lead_time_from_ecd_to_cosd,lead_time_from_ecd_to_aosd,lead_time_from_ecd_to_asdd,lead_time_from_ecd_to_asds,lead_time_from_ecd_to_procure_date,modality encoded,country encoded,customer class new encoded,cosd duplicate,aosd duplicate,predicted cosd,confidence interval lower,confidence interval upper,cosd vs aosd (days),outlier,cosd prediction
5274340,1,1,5274340-1-1,EMEA,Northern Europe,Norway,Nordics and Netherlands,Imaging,CT,CT,Norway,Vestre Viken HF,Apex80 2.5XT NG2000V S WSO,Revolution Apex 80 CTM,882369,1077687,2023-02-02,2023-08-16,2023-07-17,2023-07-17,2023-07-11,2023-08-09,Fully Shipped,2023-06-06,2023-06-06,No,00_00_00_00_00_90_10,2023-08-28,Not Approved,,,,16,6,42,876290,DDP,"Ulfving, Anna",Procured Not Cancelled,Lars Langvandsbraten,GBL-PUBLIC,2023-03-02,2023-03-02,2023-12-19,2023-06-13,Credit Approved,,2023-02-06,5274340-VV HF - Sykehuset Asker Og B-Revolution Apex-INST-0348368,CDO-EOM-IRISO,Yes,2023-01-19,Direct Public,179,209.0,202.0,138.0,42,3,63,1,2023-07-17,2023-08-16,2023-07-19,2023-07-02,2023-08-04,28.0,No,4. Greater than 21 Days
5375664,1,1,5375664-1-1,Intercontinental,Japan,Japan,Japan,Imaging,CT,CT,Kansai,KK) Mitas,Rev160 2.5 NG2000V S HINO,REVOLUTION 160 CTJ,619120,671209,2023-11-13,2023-12-06,2023-12-06,2023-12-06,2023-12-05,2023-12-05,Fully Shipped,2023-11-24,2023-11-22,No,00_00_00_00_00_00_100,2023-12-06,Not Approved,,,,2,2,42,619120,CIF,"Soga, Sayaka",Procured Not Cancelled,Hirohisa Takada,GBL-PRIVATE,2023-11-13,2023-11-17,2023-12-01,2023-11-22,Credit Approved,,,5375664-杉田玄白記念公立小浜病院-Revolution CT-INST-0354029,CDO-EOM-AFF,Yes,2023-11-13,Direct Private,23,23.0,22.0,9.0,0,3,44,0,2023-12-06,2023-12-06,2023-12-05,2023-12-04,2023-12-07,1.0,No,1. Within 7 Days
5346278,1,2,5346278-1-2,EMEA,Southern Europe,Italy,IMI,Imaging,CT,CT,Italy Center,AZIENDA UNITA' SANITARIA LOCALE TOSCANA SUD EST,EHL perpetual model_Ascend,Revolution Ascend 72kW BHW,382917,383500,2023-08-23,2024-03-25,2024-03-25,2024-03-25,2024-03-19,2024-03-14,Fully Shipped,2024-02-28,2024-02-21,No,00_00_00_00_00_00_100,2024-05-07,Not Approved,,,,20,6,30,121157,DAP,"Mecocci, Chiara",Procured Not Cancelled,Lorenzo Bocciardi,GBL-PUBLIC,2024-01-02,2024-02-13,2024-05-14,2024-02-23,Credit Approved,2023-08-23,2024-03-12,5346278-Ospedale Valdarno Montevarch-Revolution Ascend-INST-0375288,CDO-EOM-IRISO,Yes,2023-08-21,Direct Public,217,217.0,206.0,184.0,134,3,42,1,2024-03-25,2024-03-25,2024-03-20,2024-03-04,2024-04-05,5.0,No,1. Within 7 Days
5360379,1,1,5360379-1-1,EMEA,MENEAT,Turkey,Turkey and Central Asia,Imaging,CT,CT,Turkey HQ,HEALTHICA TIBBI SISTEMLER SANAYI VE TICARET ANONIM SIRKETI,Rev ACT BJ 21 IW BHW,Revolution ACT BHW,117921,121820,2023-09-27,2023-12-15,2023-11-27,2023-11-27,2023-11-17,2023-11-23,Fully Shipped,2023-10-30,2023-10-31,No,00_00_00_00_00_100_00,2024-01-08,Not Approved,,,2023-12-15,32,10,30,117922,DDP,"Canturk, Nail Asaf",Procured Not Cancelled,Emre Bulut,GBL-PRIVATE,2023-09-27,2023-10-08,2033-08-08,2023-11-21,Credit Approved,2023-09-27,2023-11-24,5360379-Healthica-Osmaniye Park Hast-Revolution ACT-INST-0381557,DISTRIB,Yes,2023-09-27,Direct Private,61,79.0,57.0,34.0,0,3,92,0,2023-11-27,2023-12-15,2023-11-27,2023-11-23,2023-12-01,18.0,No,3. Within 21 Days
5336164,1,1,5336164-1-1,EMEA,FBFA,France,France,Imaging,MR,MR,France South,SCM IMAGERIE DU PARC,1.5T SIGNA VICTOR TJS,1.5T SIGNA VICTOR TJS,705518,741666,2023-07-20,2024-08-23,2024-07-10,2077-08-12,2024-07-04,2024-08-22,Fully Shipped,2024-06-24,2024-05-23,Yes,00_00_00_00_00_00_100,2024-08-23,Not Approved,,,,30,6,126,701194,CIF,"KOUBBI, AMANDINE",Procured Not Cancelled,Caroline Roussel,GBL-PRIVATE,2024-04-03,2024-06-11,2033-01-10,2024-06-11,Credit Approved,2023-07-20,2024-03-12,5336164-IRM2 GIE SCANNER IRM DU PARC-Signa Victor-INST-0360596,CDO-EOM-IRISO,Yes,2023-07-17,Direct Private,359,403.0,402.0,311.0,261,9,28,0,2024-07-10,2024-08-23,2024-07-01,2024-03-24,2024-10-07,53.0,No,4. Greater than 21 Days
5255774,1,1,5255774-1-1,Intercontinental,India,India,India,Imaging,CT,CT,Karnataka,TRUEMEDIX LIFE SCIENCES PRIVATE LIMITED,REVOLUTION ACTS SVCT Z4G4 IN,Revolution ACT India,96767,108078,2022-12-13,2023-02-19,2023-02-28,2023-02-28,2023-02-24,2023-02-16,Fully Shipped,,,No,00_00_00_100_00_00_00,2023-02-19,Not Approved,,,,2,2,30,96767,FOB,"Shahul, Mohammed",Procured Not Cancelled,Shyam H R_DEL,EXTERNAL-PVT_INDIA,2023-01-20,,2024-03-30,,Credit Approved,2022-12-21,2023-02-15,5255774-Truemedix Life Sciences Pvt.-Revolution ACTs-INST-0343468,STD,Yes,2022-12-07,Direct Public,83,74.0,71.0,,44,3,37,1,2023-02-28,2023-02-19,2023-02-18,2023-02-03,2023-03-04,1.0,No,1. Within 7 Days
5229782,1,1,5229782-1-1,EMEA,Southern Europe,Italy,IMI,Imaging,CT,CT,Italy Center,ASL ROMA 6,Revolution EVO3.7 Mid BHW,Revolution EVO BHW,239264,259887,2022-09-27,2023-06-20,2023-06-20,2023-07-04,2023-06-09,2023-06-09,Fully Shipped,,2023-03-15,No,00_00_00_00_00_00_100,2023-07-05,Not Approved,,,,32,6,42,229661,DAP,"Costanza, Chiara",Procured Not Cancelled,Danilo Lia,GBL-PUBLIC,2022-09-27,2023-05-22,2024-07-14,2023-04-05,Credit Approved,,2022-09-27,5229782-ASL Roma 6-Revolution EVO-INST-0335265,CDO-EOM-IRISO,Yes,2022-09-27,Direct Public,266,266.0,255.0,169.0,0,3,42,1,2023-06-20,2023-06-20,2023-06-12,2023-05-18,2023-07-06,8.0,No,2. Within 14 Days
5395245,1,1,5395245-1-1,EMEA,DACH,Germany,Germany,Imaging,CT,CT,Germany North,CHARITE - UNIVERSITAETSMEDIZIN BERLIN,Ascend Elite 3.0 Long BHW,Revolution Ascend Elite BHW,464581,575000,2023-12-28,2024-08-19,2024-08-19,2024-08-19,2024-08-15,2024-08-14,Fully Shipped,2024-08-07,2024-07-15,Yes,00_00_00_00_00_00_100,,Not Approved,,2024-05-30,,32,4,42,276429,CIP,"Skorzinski, Stefan",Procured Not Cancelled,Matthias Grass,GBL-PUBLIC,2024-05-22,2024-06-12,2024-09-18,2024-07-17,Credit Approved,,2024-01-15,"5395245-Charité, Campus Virchow-Klin-Revolution Ascend-INST-0337647",CDO-EOM-IRISO,Yes,2023-12-28,Direct Public,235,235.0,230.0,200.0,146,3,30,1,2024-08-19,2024-08-19,2024-08-19,2024-08-17,2024-08-20,0.0,No,1. Within 7 Days
5242015,1,1,5242015-1-1,EMEA,SSA,Nigeria,West Africa,Imaging,CT,CT,Nigeria,SUDABELT MEDICAL CO LTD. SARL,Revo Maxima 55kW Mid BHW,Revolution Maxima BHW,113266,475947,2022-10-30,2023-03-01,2023-02-25,2023-02-25,2023-02-24,2023-02-03,Fully Shipped,,2023-02-24,No,00_30_50_00_00_00_20,2023-03-31,Not Approved,,,2023-03-15,5,1,60,113266,DDP,"Onah, Amaka Immaculata",Procured Not Cancelled,Adebayo Abayomi,VIP-PARTNER PRIVATE,2022-12-21,2023-05-14,2024-03-30,2023-03-09,Credit Approved,,,5242015-FMC Birnin Kebbi-Revolution Maxima-INST-0278370,STD,Yes,2022-10-30,Indirect,118,122.0,96.0,117.0,52,3,62,2,2023-02-25,2023-03-01,2023-02-24,2023-02-17,2023-03-03,5.0,No,1. Within 7 Days
5312749,1,1,5312749-1-1,Intercontinental,Brazil,Brazil,Brazil,Imaging,CT,CT,Brazil NorthEast,GLAUBER ANDERSON LACERDA ANTUNES,REVOLUTION ACT BJG SKD LMB BRZ,Revolution ACT BHW - SKD Brazil,113582,150121,2023-05-15,2023-12-30,2023-12-29,2023-12-29,2023-12-26,2023-12-26,Fully Shipped,,,No,00_00_00_100_00_00_00,2024-01-23,Not Approved,,,2023-12-30,120,6,30,113582,CIF,"Araujo, Camila Moura de",Procured Not Cancelled,Acacio Menezes,BRAZIL-PRIVATE,2023-11-10,,2024-02-08,,Credit Approved,,2023-06-07,5312749-GLAUBER ANDERSON LACERDA ANT-Revolution ACT-INST-0364388,STD,Yes,2023-05-15,Direct Private,228,229.0,225.0,,179,3,13,0,2023-12-29,2023-12-30,2025-05-15,2013-11-10,2036-11-17,-502.0,Yes,4. Greater than 21 Days
